cat,Id,Name,cost_from_calakmul,cost_from_tikal,precipitation,prec_corr_tikal,prec_corr_calakmul
1,0,Aguateca,3156.16398004456,2199.50689263022,164.5903,0.8913488,0.3104418
2,0,Altar de Sacraficios,2627.2066088717,1670.54952145732,155.7385,0.8945432,0.3051032
3,0,Anonal,2670.32911687481,1713.67202946038,142.4977,0.8916309,0.152466
4,0,Arroyo de Piedra,2734.37120692154,1777.71411950711,152.4631,0.8930316,0.2309905
5,0,Bonampak,4333.64452667086,3376.98743925661,182.9361,0.8773693,0.192595
6,0,Calakmul,64.0823099186202,1996.17136107432,66.57324,0.3448802,1
7,0,Cancuen,3440.73349174009,2484.07640432571,202.799,0.4430606,0.6965938
8,0,Caracol,6486.87514248261,4867.21284040079,128.9994,0.8538898,0.1027219
9,0,Chinikiha,2623.64226893793,2695.14975648096,141.6509,0.1517536,0.3540314
10,0,Copan,12066.257387946,11725.8540129311,200.1433,0.07162523,0.02578214
11,0,Dos Pilas,2843.82139645449,1887.16430904014,152.4631,0.8930316,0.2309905
12,0,Dzibanche,1152.56274621084,1785.95055610035,87.6074,0.2448287,0.2523353
13,0,El Cayo,4072.16268857876,3254.56288407868,154.222,0.6390606,0.4653882
14,0,El Chorro,3002.78493914771,2088.10543679991,147.1097,0.8953486,0.1692872
15,0,El Peru,1115.80842150958,1090.52500476557,86.70565,0.8778816,0.6426078
16,0,Itzan,2810.58141924634,1853.92433183192,143.729,0.8953126,0.1602526
17,0,Ixkun,5074.95025634772,3455.2879542659,133.8194,0.8834631,0.1180686
18,0,Ixtutz,4786.62932546011,3492.01527125866,142.2505,0.8842425,0.144932
19,0,Ixlu,2191.95647378554,779.620371576594,87.80441,0.9310487,0.1485189
20,0,Jimbal,1712.20779754066,244.208170422903,59.19445,0.9824985,0.4682624
21,0,Kabah,1876.34132844909,2877.79945020336,24.19653,0.08537854,0.1644103
22,0,La Amelia,2774.67734026645,1818.02025285202,143.6717,0.8956198,0.1959239
23,0,La Corona,934.098647382128,1037.83271055251,87.94302,0.6435092,0.8643568
24,0,La Rejolla,5820.61532437633,4200.95302229452,106.1419,0.8883604,0.1134296
25,0,La Pasadita,3753.74397643303,2936.14417193296,146.7621,0.8499292,0.5100996
26,0,Lacanha,5013.81950934923,4057.16242193497,188.3138,0.842115,0.2009427
27,0,Machaquila,3085.89491861705,2129.23783120267,167.0476,0.8773571,0.3509324
28,0,Motul de San Jose,2017.13083352252,749.00171844645,80.34061,0.9617797,0.2496082
29,0,Naj Tunich,6513.94447289386,5686.89748036349,199.0025,0.6585065,0.1958545
30,0,Naranjo,2649.14033882484,1029.47803674303,68.77898,0.9495098,0.2662528
31,0,Nimli Punit,2742.60383867795,2402.20046366306,200.1121,0.1844296,0.02670716
32,0,Palenque,3005.40240936615,3178.60900535195,163.5952,0.01184779,0.05165581
33,0,Piedras Negras,3693.43601662706,3764.94350417009,150.3575,0.4123101,0.5540501
34,0,Pomona,11874.496468912,12056.3403865061,156.2299,-0.007209534,0.002299169
35,0,Quirigua,5330.81946863452,4990.41609361962,185.4756,0.08004525,0.02289131
36,0,Rio Amarillo,10981.8712864751,10641.4679114602,216.5712,0.07500307,0.0202787
37,0,Rio Azul,998.971197136892,461.390246529121,43.83207,0.5827329,0.7921982
38,0,Sacul,5510.94607080752,3891.28376872572,147.3716,0.8719851,0.1139979
39,0,Sak Ha',1264.78722315937,2263.72878911333,89.75322,0.1887615,0.5789672
40,0,Sak Tz'i',4323.44469994595,4394.95218748898,154.8381,0.2952775,0.4290295
41,0,Seibal,2678.58370541552,1721.9266180011,141.0967,0.8906445,0.1460727
42,0,Site R,4439.2057687245,4510.71325626753,154.8381,0.2952775,0.4290295
43,0,Tamarindito,2860.32771161256,1903.67062419814,152.0389,0.8920847,0.2117743
44,0,Tikal,2046.42527616276,42.0219496970631,69.29356,1,0.3448802
45,0,Tonina,11606.7954802558,11289.0520980057,138.0717,-0.003237949,0.005490793
46,0,Tortuguero,1331.21109696661,1513.05501456073,185.694,-0.002002344,0.01311518
47,0,Yaleltsemen,15307.0740632458,15488.9179808399,150.4101,-0.005932625,0.002898404
48,0,Ucanal,3553.99988241695,1934.33758033517,93.48513,0.9209615,0.1271278
49,0,Uaxactun,1261.84640396841,378.572203138825,48.3489,0.9286364,0.6109477
50,0,Yaxchilan,3817.69718947219,2861.04010205787,154.2345,0.91405,0.2922967
51,0,Xukuy,1577.48872572391,2210.58261676261,17.13475,0.1614683,0.1754322
52,0,Xultun,1671.33570787481,693.35014463061,46.18066,0.7207928,0.616825
53,0,Yax Ha',2246.82256610552,627.160264023709,69.59083,0.9725756,0.262035
54,0,Tres Islas,3016.00147909245,2059.34439167807,180.7953,0.8043435,0.5662131
